耀,22209
涉,169118
谈,158510
伊,57453
亟,5621
洞,40989
咣,102
猢,25
悫,14
缪,2316
河,214042
临,141087
犷,437
吸,105769
娼,1961
线,544245
反,292730
牌,280182
雏,1983
姑,17039
硐,65
鳓,1
卢,17175
知,403871
除,159220
彪,5612
闹,31081
廿,511
覆,66032
辊,64
应,629182
踟,42
儡,244
皤,2
崩,6029
芬,11774
冶,6120
钸,3
骼,1501
赉,74
湟,441
跞,4
囤,1813
峨,2305
括,152769
棰,13
豳,16
滴,27913
须,137408
孽,270
鹿,10229
沉,36233
上,2333952
犍,300
后,1335447
碑,23163
餐,98215
怖,32281
蒙,41911
邡,384
砦,48
鲩,269
枯,5348
伴,75790
玷,147
逶,80
离,196358
羿,216
浈,214
壑,785
罔,943
盥,92
裱,509
号,248753
灶,6682
姻,16680
忿,173
节,425684
厌,4508
钎,140
骒,3
茗,1526
褛,144
倡,26609
熠,1991
锣,5691
稽,5492
拂,1175
豉,336
克,223669
坏,51200
鹕,236
胖,9428
几,236911
埤,35
巨,82898
赳,112
篼,109
齿,10604
舀,265
萄,15327
澉,12
挖,29783
嚣,3696
符,68271
披,19436
蜮,3
炷,157
锺,373
鼾,520
所,669767
摄,71039
灌,12953
柙,2
佞,25
兢,2131
学,1695056
翩,1591
鹨,1
臭,11410
诱,13858
践,74784
罾,36
昃,7
膂,7
标,1250795
予,131831
越,255315
琏,237
馒,1771
岔,2044
耗,24151
谟,313
匡,1154
弩,663
纨,52
洵,136
厶,1
懂,24012
配,220819
魑,23
秒,11308
菖,222
橛,12
江,417321
连,183649
癣,1131
廨,24
惬,1416
相,652036
驻,90930
好,910832
鱿,760
撅,58
溉,3174
嘎,1421
窑,6489
粕,447
或,339682
垣,2359
钥,8041
簪,186
斯,267243
澳,62649
蠲,4
夼,45
鸾,323
觇,5
仉,16
煌,13113
筐,1209
曙,3910
乞,4424
狡,989
镤,1
绩,96222
胭,214
普,194862
俳,10
雹,5356
寻,68359
侈,5644
貊,3
册,56124
缓,54913
枘,7
榜,39159
负,296294
疤,1892
樱,10140
记,910889
氵,16
趴,3312
庾,197
蹉,109
泊,15711
遍,54482
盎,1956
当,626350
叠,11883
督,197621
郢,164
嗤,242
祧,3
髦,1455
荫,3208
轳,17
酷,13093
矸,339
舄,2
榉,138
阌,4
箕,819
挚,4982
傣,454
座,119024
笪,50
梳,13119
锶,109
帼,2055
窿,590
胃,12588
案,699541
铋,104
癌,32258
飓,830
聘,50639
珥,51
秩,29029
孪,243
潲,105
诵,6360
峻,14693
螂,952
岐,5828
谛,791
溜,3997
天,944235
札,534
蚬,113
洱,2212
邸,1709
妾,218
乇,2
淆,1739
呋,129
燎,1542
晗,2501
汛,39489
觞,222
勤,48042
葫,2107
良,147419
泰,50542
陷,33764
兹,12288
综,138844
驿,6015
茄,2490
粑,1500
窕,230
戚,11116
钡,38
瘢,172
簦,15
斫,111
弼,483
臃,251
过,1329688
答,74266
噢,167
屦,2
饨,525
婪,642
蛭,86
瑶,9601
牺,9717
寿,30482
蚂,1938
誊,72
垌,181
礓,16
麒,2462
蜗,1313
丝,66179
澜,9776
吡,103
疠,16
鄣,14
昭,7091
螬,1
亲,224456
樵,1904
讴,478
瀹,1
降,236155
协,398635
绒,4243
蓖,83
俜,1
古,138223
姨,11252
柬,5754
药,199459
幽,6188
翼,15870
极,281917
耄,392
殉,1275
些,526313
愚,2508
劣,22578
缦,52
悯,738
丰,94975
贲,176
券,49822
尼,100001
郏,64
忑,876
髓,7426
艘,10972
淝,192
燥,6360
彦,11033
据,490804
煺,7
签,139016
氇,8
辆,168624
和,2810985
庐,3573
折,48425
窨,667
漱,1129
猹,1
鲼,30
宾,74971
槊,21
镍,418
偏,51036
齑,8
饕,742
湛,8644
诞,16153
因,388957
虫,17820
狸,2017
顿,46552
蜀,4661
锌,1136
刎,49
鼐,385
芙,4849
供,435143
琢,3346
枫,6031
估,57153
殳,10
谲,216
阶,98383
杀,68036
响,266208
界,380735
量,689350
廑,1
罐,13674
壕,744
拙,981
赜,110
靠,88745
呢,51956
酤,2
扮,12268
汲,3348
嗷,418
忻,756
姿,15816
蒂,15798
洇,39
看,539451
銎,4
徐,45169
蔗,1367
掘,25484
瞠,430
倥,8
娩,2784
箨,1
搭,50505
辰,11520
爹,5907
媾,31
擂,1308
狎,15
鹑,168
孓,20
胚,2797
埠,5158
铢,574
凤,37099
寨,34999
旬,27783
乱,55231
饿,5483
箍,1649
崎,3673
逐,93086
阔,19408
岣,12
焦,51621
溯,10573
贮,1160
尸,17737
炻,3
皿,535
锾,33
桀,106
俅,29
湄,3876
苇,1363
摈,177
黏,3341
凑,6388
埕,216
癔,21
淙,126
佚,157
孢,451
翥,11
鹤,9234
坪,25481
语,130778
浮,25048
僻,3361
囿,382
弥,10259
纤,8390
璨,2335
朵,11506
蚴,117
鲸,3651
喾,31
襁,175
毂,536
蕉,3416
魍,16
呓,44
觖,5
晟,2747
牧,17641
哨,3869
衫,3717
韪,138
蹯,1
惰,795
葳,254
更,586928
驷,511
糸,41
狼,7422
梁,50698
溅,1218
窍,1458
划,396361
栖,7402
渚,1054
芝,10922
搞,33439
颡,59
钩,11180
榫,277
瘪,399
谮,3
鸺,5
